case_name,seed,failure_mode,allow_support_takeover,allow_support_bridge,allow_support_scan,success,failure_reason,mission_time_s,energy_j,total_replans,first_warning_time_s,first_warning_distance_m,first_warning_route,warning_count,post_failure_replan_count,network_disconnect_count,network_reconnect_count,network_active_ratio,post_failure_network_active_ratio,path_direct_ratio,path_relay_ratio,path_support_ratio,post_failure_path_support_ratio,support_detected_threat_count,support_first_post_failure_detect_time_s,mean_master_risk,max_master_risk,mean_master_power_w,max_master_power_w
normal,0,none,True,True,True,True,goal_reached,1090.0,1458298.024556074,1,430.0,829.4023189075583,relay,1,1,1,1,0.8767123287671232,0.8615384615384616,0.1735159817351598,0.8767123287671232,0.3698630136986301,0.2923076923076923,1,430.0,1.731540497121804e-17,2.3314683517128287e-15,1337.888095923004,2083.6082846333275
relay_fail,0,relay_fail,False,False,False,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,1,1,0.20909090909090908,0.11224489795918367,0.17272727272727273,0.11363636363636363,0.0,0.0,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
relay_fail_with_support,0,relay_fail,True,True,True,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,2,2,0.9272727272727272,0.9183673469387755,0.17272727272727273,0.11363636363636363,0.9272727272727272,0.9183673469387755,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
scout_fail,0,scout_fail,False,False,False,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,1,0,0.11363636363636363,0.00510204081632653,0.07727272727272727,0.11363636363636363,0.0,0.0,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
scout_fail_with_support,0,scout_fail,True,False,True,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,0,0,1.0,1.0,0.9636363636363636,0.11363636363636363,0.0,0.0,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
scout_fail_with_full_support,0,scout_fail,True,True,True,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,0,0,1.0,1.0,0.9636363636363636,0.11363636363636363,1.0,1.0,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
normal,1,none,True,True,True,True,goal_reached,1090.0,1458298.024556074,1,430.0,829.4023189075583,relay,1,1,1,1,0.8767123287671232,0.8615384615384616,0.1735159817351598,0.8767123287671232,0.3698630136986301,0.2923076923076923,1,430.0,1.731540497121804e-17,2.3314683517128287e-15,1337.888095923004,2083.6082846333275
relay_fail,1,relay_fail,False,False,False,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,1,1,0.20909090909090908,0.11224489795918367,0.17272727272727273,0.11363636363636363,0.0,0.0,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
relay_fail_with_support,1,relay_fail,True,True,True,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,2,2,0.9272727272727272,0.9183673469387755,0.17272727272727273,0.11363636363636363,0.9272727272727272,0.9183673469387755,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
scout_fail,1,scout_fail,False,False,False,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,1,0,0.11363636363636363,0.00510204081632653,0.07727272727272727,0.11363636363636363,0.0,0.0,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
scout_fail_with_support,1,scout_fail,True,False,True,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,0,0,1.0,1.0,0.9636363636363636,0.11363636363636363,0.0,0.0,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
scout_fail_with_full_support,1,scout_fail,True,True,True,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,0,0,1.0,1.0,0.9636363636363636,0.11363636363636363,1.0,1.0,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
normal,2,none,True,True,True,True,goal_reached,1090.0,1458298.024556074,1,430.0,829.4023189075583,relay,1,1,1,1,0.8767123287671232,0.8615384615384616,0.1735159817351598,0.8767123287671232,0.3698630136986301,0.2923076923076923,1,430.0,1.731540497121804e-17,2.3314683517128287e-15,1337.888095923004,2083.6082846333275
relay_fail,2,relay_fail,False,False,False,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,1,1,0.20909090909090908,0.11224489795918367,0.17272727272727273,0.11363636363636363,0.0,0.0,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
relay_fail_with_support,2,relay_fail,True,True,True,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,2,2,0.9272727272727272,0.9183673469387755,0.17272727272727273,0.11363636363636363,0.9272727272727272,0.9183673469387755,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
scout_fail,2,scout_fail,False,False,False,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,1,0,0.11363636363636363,0.00510204081632653,0.07727272727272727,0.11363636363636363,0.0,0.0,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
scout_fail_with_support,2,scout_fail,True,False,True,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,0,0,1.0,1.0,0.9636363636363636,0.11363636363636363,0.0,0.0,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
scout_fail_with_full_support,2,scout_fail,True,True,True,True,goal_reached,1095.0,1470164.9177015896,0,,,,0,0,0,0,1.0,1.0,0.9636363636363636,0.11363636363636363,1.0,1.0,0,,0.0,0.0,1342.6163631977988,2017.6610376548022
